Date,Code,Name,Close,AnomalyScore,AnomalyReason,Rt,Stage,FwdReturn5d,FwdReturn10d,FwdReturn20d
2023-05-31,285770,라이프사이언스테크놀로지,125.0,4.2485291572496005,VolumeZ,6.278500996361887,초기 확산기,-0.19999999999999996,,
2023-05-31,281310,바이오시네틱스,455.0,4.2485291572496005,VolumeZ,12.997896383421887,초기 확산기,-0.03956043956043953,,
2023-05-31,005950,이수화학,26950.0,4.2485291572496005,VolumeZ,10.526152990265146,초기 확산기,0.06493506493506485,0.23376623376623384,-0.03153988868274582
2023-05-31,138080,오이솔루션,16980.0,4.248328770342639,VolumeZ,6.636873231950712,초기 확산기,-0.019434628975265045,-0.03710247349823326,-0.07302709069493518
2023-05-31,020760,일진디스플,1458.0,4.247611099102073,VolumeZ,8.132903081155101,초기 확산기,-0.05555555555555558,-0.09190672153635115,-0.054869684499314175
2023-06-01,290120,대유에이피,5740.0,4.364011474424605,VolumeZ,15.095631072541075,초기 확산기,-0.04181184668989546,-0.05226480836236935,-0.05052264808362372
2023-06-01,006920,모헨즈,4450.0,4.363823269897384,VolumeZ,29.9158740612321,초기 확산기,0.06853932584269673,0.2921348314606742,0.17528089887640452
2023-06-01,033560,블루콤,4040.0,4.360393735076724,VolumeZ,3.8893729792357865,초기 확산기,-0.011138613861386149,-0.06806930693069302,-0.0866336633663366
2023-06-01,001940,KISCO홀딩스,18400.0,4.358667673884378,VolumeZ,2.8775311764957294,초기 확산기,-0.001630434782608714,-0.02717391304347827,-0.005978260869565211
2023-06-01,242040,나무기술,2935.0,4.3586560124306635,VolumeZ,8.049501651366443,초기 확산기,-0.09199318568994885,-0.030664395229982988,-0.1942078364565588
2023-06-02,366330,신한제7호스팩,3425.0,4.477215043467819,VolumeZ,16.54928427198293,초기 확산기,0.16496350364963508,0.10510948905109485,0.45985401459854014
2023-06-02,373200,하인크코리아,6120.0,4.476406123179215,VolumeZ,12.0837860991841,초기 확산기,0.03267973856209161,0.02614379084967311,0.03758169934640532
2023-06-02,062970,피피아이,3130.0,4.476167495867469,VolumeZ,13.34455848945911,초기 확산기,-0.054313099041533586,-0.03833865814696491,-0.060702875399361034
2023-06-02,035290,골드앤에스,3110.0,4.475905883552693,VolumeZ,16.422030847222192,초기 확산기,-0.4147909967845659,-0.4443729903536977,-0.5434083601286174
2023-06-02,004430,송원산업,17990.0,4.473331395401162,VolumeZ,17.522421074737256,초기 확산기,0.1145080600333519,0.17843246247915512,0.047804335742078985
2023-06-05,335810,프리시젼바이오,6440.0,4.586459824831147,VolumeZ,8.717497727271477,초기 확산기,-0.0357142857142857,-0.02795031055900621,-0.017080745341614856
2023-06-05,208710,바이오로그디바이스,941.0,4.585976554128464,VolumeZ,7.258413121035818,초기 확산기,-0.01700318809776835,0.06482465462274178,0.46971307120085015
2023-06-05,198080,엔피디,2330.0,4.585700234248141,VolumeZ,6.356708965996751,초기 확산기,0.006437768240343367,0.006437768240343367,-0.045064377682403456
2023-06-05,323230,엠에프엠코리아,772.0,4.580636240598845,VolumeZ,6.985198470591231,초기 확산기,0.007772020725388629,0.07124352331606221,0.07253886010362698
2023-06-05,084440,유비온,1536.0,4.57364925895637,VolumeZ,12.755804232910787,초기 확산기,-0.0234375,-0.02734375,0.23958333333333326
2023-06-07,256150,한독크린텍,8980.0,4.691479061279174,VolumeZ,7.414602575173399,초기 확산기,0.03786191536748329,-0.00222717149220486,-0.021158129175946505
2023-06-07,244460,올리패스,2215.0,4.689922529212865,VolumeZ,1.2872861724291866,초기 확산기,-0.04288939051918739,-0.24379232505643345,0.038374717832957206
2023-06-07,238120,얼라인드,8930.0,4.684545786723843,VolumeZ,1.2311821092412367,초기 확산기,-0.023516237402015694,-0.027995520716685318,-0.03135498320268759
2023-06-07,036030,케이티알파,6340.0,4.684217638094897,VolumeZ,7.475584414600429,초기 확산기,0.007886435331230235,0.020504731861198833,0.001577287066246047
2023-06-07,193250,와이제이엠게임즈,1222.0,4.6812040312555325,VolumeZ,2.8897922706326065,초기 확산기,-0.08510638297872342,-0.09983633387888702,-0.0810147299509002
2023-06-08,290270,휴네시온,5390.0,4.7999340346317645,VolumeZ,2.9559048070341047,초기 확산기,-0.08905380333951762,-0.1298701298701299,-0.19016697588126164
2023-06-08,005750,대림B&Co,3825.0,4.799907414144875,VolumeZ,21.729549379458902,초기 확산기,-0.04052287581699343,0.006535947712418277,-0.027450980392156876
2023-06-08,006570,대림통상,3850.0,4.799891667880937,VolumeZ,0.2712136014317266,정점 지나 하락기,-0.0766233766233766,-0.07272727272727275,-0.08961038961038958
2023-06-08,273060,와이즈버즈,1441.0,4.799836338462389,VolumeZ,24.963460638826604,초기 확산기,-0.0707841776544067,-0.09368494101318525,-0.10617626648160994
2023-06-08,090370,메타랩스,3140.0,4.798169163191015,VolumeZ,19.857151243485553,초기 확산기,0.035031847133758065,-0.006369426751592355,-0.09713375796178347
2023-06-09,006200,한국전자홀딩스,1449.0,4.902421757089113,VolumeZ,29.986050018393087,초기 확산기,-0.07867494824016563,-0.1028295376121463,-0.13388543823326438
2023-06-09,008250,이건산업,8400.0,4.902304519051939,VolumeZ,0.15066787197779594,정점 지나 하락기,-0.07380952380952377,-0.06785714285714284,-0.0892857142857143
2023-06-09,065440,이루온,2530.0,4.90207366431735,VolumeZ,0.17290337221800764,정점 지나 하락기,-0.025691699604743046,-0.035573122529644285,-0.12055335968379444
2023-06-09,011420,갤럭시아에스엠,2470.0,4.901064182864835,VolumeZ,0.12179911406878025,정점 지나 하락기,-0.0080971659919028,-0.038461538461538436,-0.1417004048582996
2023-06-09,389030,지니너스,2945.0,4.897584610040627,VolumeZ,434.51981826780207,초기 확산기,-0.06281833616298815,0.18336162988115445,0.13242784380305594
2023-06-12,051630,진양화학,3855.0,5.003159237570474,VolumeZ,266.5173754940125,초기 확산기,-0.046692607003890996,-0.09079118028534372,-0.14785992217898836
2023-06-12,170920,엘티씨,11100.0,5.00266290911196,VolumeZ,264.723672590637,초기 확산기,-0.01531531531531527,-0.06396396396396398,-0.072972972972973
2023-06-12,203450,유니온커뮤니티,3710.0,5.002271563910264,VolumeZ,1.1216378207332274,포화기,0.020215633423180668,-0.04582210242587603,-0.08221024258760112
2023-06-12,446600,카이바이오텍,24600.0,5.001711165216048,ChangesRatioZ,1.000000000000001,포화기,0.0,0.0,-0.06504065040650409
2023-06-12,044480,블레이드 Ent,1384.0,4.986248398248198,VolumeZ,2.6574579161166847,초기 확산기,-0.07658959537572252,-0.08453757225433522,-0.05924855491329484
2023-06-13,067920,이글루,6850.0,5.101443508307199,VolumeZ,251.1886431509587,초기 확산기,0.027737226277372296,0.051094890510948954,0.011678832116788218
2023-06-13,090150,아이윈,1851.0,5.099201368163586,VolumeZ,251.18864315095828,초기 확산기,-0.06699081577525667,-0.09562398703403563,-0.12749864937871425
2023-06-13,001840,이화공영,4240.0,5.097339987043332,VolumeZ,31.930569490917037,초기 확산기,0.010613207547169878,-0.02358490566037741,-0.008254716981132115
2023-06-13,155660,DSR,5200.0,5.0923517269768475,VolumeZ,33.82230598154204,초기 확산기,-0.0038461538461538325,-0.013461538461538414,-0.0509615384615385
2023-06-13,010960,삼호개발,3835.0,5.0919883733624784,VolumeZ,251.1886431509587,초기 확산기,-0.016949152542372836,-0.03389830508474578,-0.05084745762711862
2023-06-14,311060,엘에이티,5290.0,5.199469468957453,ChangesRatioZ,5.430117347520595,초기 확산기,0.0,-0.16635160680529304,0.037807183364839236
2023-06-14,052770,아이톡시,1649.0,5.199469468957453,ChangesRatioZ,1.000000000000001,포화기,0.21285627653123096,0.050939963614311745,0.12371134020618557
2023-06-14,046140,SBS콘텐츠허브,6680.0,5.1983776130429815,VolumeZ,279.8789786421893,초기 확산기,-0.020958083832335328,0.010479041916167775,-0.08532934131736525
2023-06-14,109860,동일금속,21700.0,5.192847748157297,ChangesRatioZ,0.006108346856714522,정점 지나 하락기,0.0,0.0,-0.4271889400921659
2023-06-14,248170,샘표식품,33600.0,5.192068228136281,VolumeZ,27.47843398654471,초기 확산기,0.21875,0.023809523809523725,-0.12351190476190477
2023-06-15,238090,앤디포스,2940.0,5.2946513892166065,VolumeZ,1.000000000000001,포화기,-0.08503401360544216,-0.13605442176870752,-0.2091836734693877
2023-06-15,038530,골드퍼시픽,469.0,5.294651389216606,VolumeZ,1.000000000000001,포화기,-0.24307036247334757,-0.24946695095948823,-0.24946695095948823
2023-06-15,010170,대한광통신,2570.0,5.289335526581029,VolumeZ,22.023228139280274,초기 확산기,-0.11673151750972766,-0.0797665369649806,-0.05058365758754868
2023-06-15,060380,동양에스텍,2535.0,5.277269118028997,VolumeZ,251.1886431509587,초기 확산기,-0.041420118343195256,0.04339250493096647,0.13214990138067062
2023-06-15,089890,코세스,14320.0,5.268584164916077,VolumeZ,52.18750949089204,초기 확산기,0.0300279329608939,0.0544692737430168,-0.06005586592178769
