Code,Name,EventDate,Detected,FirstFlagDate,LeadDaysApprox
200780,비씨월드제약,2023-03-23,True,2023-03-14,7.0
071460,위니아,2023-08-16,True,2023-07-27,13.0
019590,엠벤처투자,2024-03-20,True,2024-03-15,3.0
033200,모아텍,2024-01-02,True,2023-12-27,2.0
033200,모아텍,2024-06-20,True,2024-05-30,14.0
290520,신도기연,2025-03-24,False,,
024810,이화전기,2023-07-14,False,,
090710,휴림로봇,2023-04-10,False,,
312610,에이에프더블류,2026-03-12,True,2026-03-04,6.0
053590,한국테크놀로지,2022-03-24,True,2022-03-10,10.0
053590,한국테크놀로지,2023-03-24,False,,
078860,엔에스이엔엠,2025-03-20,True,2025-02-20,19.0
101930,인화정공,2023-08-16,True,2023-07-27,13.0
227950,엔투텍,2022-09-28,True,2022-09-01,17.0
203690,아크솔루션스,2025-03-14,False,,
230980,비유테크놀러지,2024-03-22,False,,
109960,AP헬스케어,2025-03-14,False,,
030350,드래곤플라이,2025-03-24,True,2025-03-17,5.0
032790,BNGT,2022-01-03,False,,
001840,이화공영,2025-04-02,True,2025-03-24,7.0
001840,이화공영,2026-04-02,True,2026-03-05,20.0
065170,비엘팜텍,2025-03-24,True,2025-02-21,20.0
263770,유에스티,2022-03-21,True,2022-03-08,8.0
044060,조광ILI,2023-06-14,False,,
269620,시스웍,2022-03-24,False,,
226440,한송네오텍,2022-03-24,False,,
065650,하이퍼코퍼레이션,2025-03-24,True,2025-03-21,1.0
313760,윌링스,2023-09-11,True,2023-09-07,2.0
313760,윌링스,2024-03-22,True,2024-03-15,5.0
313760,캐리,2025-03-24,True,2025-03-07,11.0
181340,이즈미디어,2022-03-24,True,2022-02-28,16.0
149980,하이로닉,2025-04-08,True,2025-03-24,11.0
900100,애머릿지,2022-01-03,False,,
073570,리튬포어스,2025-03-24,True,2025-02-21,20.0
041590,플래스크,2024-04-01,True,2024-03-11,15.0
041590,플래스크,2025-05-23,False,,
056730,CNT85,2022-01-03,False,,
041520,이엘씨,2026-03-18,False,,
096690,에이루트,2022-03-23,True,2022-03-08,10.0
096690,에이루트,2024-03-22,False,,
012340,뉴인텍,2026-03-19,True,2026-02-13,20.0
121850,코이즈,2026-03-24,False,,
051980,중앙디앤엠,2022-03-31,True,2022-03-15,12.0
002230,피에스텍,2022-03-30,False,,
124500,아이티센,2024-03-28,False,,
092600,앤씨앤,2025-03-19,True,2025-02-20,18.0
065560,녹원씨엔아이,2022-01-03,False,,
016790,카나리아바이오,2024-03-22,False,,
016790,현대사료,2025-05-16,False,,
